"id","tipo","fecha","total","metodoPago","estado","createdAt","updatedAt"
179,pedido,2025-06-03 22:43:16.902 -0300,30000.0,efectivo,completada,2025-06-03 22:43:16.902 -0300,2025-06-03 22:43:16.902 -0300
180,pedido,2025-06-05 18:37:54.258 -0300,16000.0,efectivo,completada,2025-06-05 18:37:54.258 -0300,2025-06-05 18:37:54.258 -0300
181,feria,2025-05-17 09:24:44.134 -0300,6000.0,efectivo,completada,2025-05-17 09:24:44.135 -0300,2025-05-17 09:24:44.135 -0300
202,feria,2025-06-06 15:43:30.026 -0300,8000.0,efectivo,completada,2025-06-06 15:43:30.027 -0300,2025-06-06 15:43:30.027 -0300
203,pedido,2025-06-06 15:44:58.164 -0300,14000.0,mercadopago,completada,2025-06-06 15:44:58.164 -0300,2025-06-06 15:44:58.164 -0300
204,pedido,2025-06-06 15:45:10.940 -0300,3500.0,mercadopago,completada,2025-06-06 15:45:10.940 -0300,2025-06-06 15:45:10.940 -0300
205,pedido,2025-06-06 15:45:57.378 -0300,3500.0,mercadopago,completada,2025-06-06 15:45:57.379 -0300,2025-06-06 15:45:57.379 -0300
207,pedido,2025-06-06 15:46:59.242 -0300,10000.0,mercadopago,completada,2025-06-06 15:46:59.242 -0300,2025-06-06 15:46:59.242 -0300
209,feria,2025-06-07 09:45:48.791 -0300,8000.0,mercadopago,completada,2025-06-07 09:45:48.791 -0300,2025-06-07 09:45:48.791 -0300
210,feria,2025-06-07 09:45:55.517 -0300,7000.0,mercadopago,completada,2025-06-07 09:45:55.517 -0300,2025-06-07 09:45:55.517 -0300
211,feria,2025-06-07 10:41:31.002 -0300,7000.0,mercadopago,completada,2025-06-07 10:41:31.002 -0300,2025-06-07 10:41:31.002 -0300
212,feria,2025-06-07 10:49:30.287 -0300,6000.0,mercadopago,completada,2025-06-07 10:49:30.287 -0300,2025-06-07 10:49:30.287 -0300
213,feria,2025-06-07 11:04:48.295 -0300,4000.0,efectivo,completada,2025-06-07 11:04:48.295 -0300,2025-06-07 11:04:48.295 -0300
214,feria,2025-06-07 11:18:37.420 -0300,4000.0,mercadopago,completada,2025-06-07 11:18:37.420 -0300,2025-06-07 11:18:37.420 -0300
215,feria,2025-06-07 11:20:43.617 -0300,8000.0,efectivo,completada,2025-06-07 11:20:43.617 -0300,2025-06-07 11:20:43.617 -0300
216,feria,2025-06-07 11:20:57.498 -0300,15000.0,mercadopago,completada,2025-06-07 11:20:57.498 -0300,2025-06-07 11:20:57.498 -0300
217,feria,2025-06-07 11:21:08.962 -0300,6000.0,mercadopago,completada,2025-06-07 11:21:08.962 -0300,2025-06-07 11:21:08.962 -0300
218,feria,2025-06-07 11:37:53.670 -0300,5000.0,efectivo,completada,2025-06-07 11:37:53.670 -0300,2025-06-07 11:37:53.670 -0300
219,feria,2025-06-07 11:38:07.583 -0300,3500.0,efectivo,completada,2025-06-07 11:38:07.583 -0300,2025-06-07 11:38:07.583 -0300
220,feria,2025-06-07 11:54:11.775 -0300,4000.0,mercadopago,completada,2025-06-07 11:54:11.775 -0300,2025-06-07 11:54:11.775 -0300
221,feria,2025-06-07 11:55:11.098 -0300,4000.0,mercadopago,completada,2025-06-07 11:55:11.098 -0300,2025-06-07 11:55:11.098 -0300
222,feria,2025-06-07 11:56:04.654 -0300,4000.0,mercadopago,completada,2025-06-07 11:56:04.654 -0300,2025-06-07 11:56:04.654 -0300
223,feria,2025-06-07 11:56:13.206 -0300,8000.0,mercadopago,completada,2025-06-07 11:56:13.206 -0300,2025-06-07 11:56:13.206 -0300
224,feria,2025-06-07 12:11:47.572 -0300,8000.0,mercadopago,completada,2025-06-07 12:11:47.572 -0300,2025-06-07 12:11:47.572 -0300
225,feria,2025-06-07 12:12:39.297 -0300,7000.0,mercadopago,completada,2025-06-07 12:12:39.297 -0300,2025-06-07 12:12:39.297 -0300
226,feria,2025-06-07 12:13:17.461 -0300,4500.0,efectivo,completada,2025-06-07 12:13:17.461 -0300,2025-06-07 12:13:17.461 -0300
227,feria,2025-06-07 12:13:24.973 -0300,3500.0,efectivo,completada,2025-06-07 12:13:24.973 -0300,2025-06-07 12:13:24.973 -0300
228,feria,2025-06-07 12:29:15.166 -0300,3500.0,efectivo,completada,2025-06-07 12:29:15.167 -0300,2025-06-07 12:29:15.167 -0300
229,feria,2025-06-07 12:30:29.405 -0300,2500.0,efectivo,completada,2025-06-07 12:30:29.405 -0300,2025-06-07 12:30:29.405 -0300
230,feria,2025-06-07 12:33:13.155 -0300,3500.0,efectivo,completada,2025-06-07 12:33:13.155 -0300,2025-06-07 12:33:13.155 -0300
231,feria,2025-06-07 12:34:59.159 -0300,4000.0,efectivo,completada,2025-06-07 12:34:59.159 -0300,2025-06-07 12:34:59.159 -0300
232,feria,2025-06-07 12:35:41.784 -0300,7000.0,mercadopago,completada,2025-06-07 12:35:41.784 -0300,2025-06-07 12:35:41.784 -0300
233,feria,2025-06-07 12:37:33.017 -0300,6000.0,efectivo,completada,2025-06-07 12:37:33.017 -0300,2025-06-07 12:37:33.017 -0300
234,feria,2025-06-07 12:51:26.183 -0300,6000.0,mercadopago,completada,2025-06-07 12:51:26.183 -0300,2025-06-07 12:51:26.183 -0300
235,feria,2025-06-07 13:14:33.716 -0300,3500.0,mercadopago,completada,2025-06-07 13:14:33.716 -0300,2025-06-07 13:14:33.716 -0300
236,feria,2025-06-07 13:41:07.793 -0300,2500.0,mercadopago,completada,2025-06-07 13:41:07.793 -0300,2025-06-07 13:41:07.793 -0300
237,pedido,2025-06-07 20:16:14.623 -0300,7000.0,efectivo,completada,2025-06-07 20:16:14.623 -0300,2025-06-07 20:16:14.623 -0300
238,feria,2025-06-07 20:16:24.891 -0300,8000.0,efectivo,completada,2025-06-07 20:16:24.892 -0300,2025-06-07 20:16:24.892 -0300
206,pedido,2025-06-06 15:46:24.789 -0300,10000.0,mercadopago,completada,2025-06-06 15:46:24.790 -0300,2025-06-07 20:55:37.035 -0300
